mesh,add_N,sub,metal,E_ads_H
42,0N,SV,Sc,-0.910419999999988
42,0N,SV,Ti,-1.00936999999999
42,0N,SV,V,-1.31019000000003
42,0N,SV,Cr,-0.94894000000005
42,0N,SV,Mn,-1.21848999999997
42,0N,SV,Fe,-0.844820000000027
42,0N,SV,Co,-0.819840000000056
42,0N,SV,Ni,-0.320330000000013
42,0N,SV,Cu,-0.253389999999968
42,0N,SV,Zn,-0.27136999999999
42,0N,SV,Y,-1.00732000000005
42,0N,SV,Zr,-0.973940000000027
42,0N,SV,Nb,-1.50557000000003
42,0N,SV,Mo,-1.00319000000002
42,0N,SV,Tc,-1.05464999999998
42,0N,SV,Ru,-0.530060000000049
42,0N,SV,Rh,-0.563969999999983
42,0N,SV,Pd,-0.0109300000000871
42,0N,SV,Ag,-0.0276000000000636
42,0N,SV,Hf,-1.32348000000002
42,0N,SV,Ta,-2.06983000000002
42,0N,SV,W,-1.66457000000003
42,0N,SV,Re,-1.62580000000003
42,0N,SV,Os,-1.12991
42,0N,SV,Ir,-1.14786000000004
42,0N,SV,Pt,-0.431950000000029
42,0N,SV,Au,-0.563840000000027
42,0N,SV_1N,Sc,-1.01923999999997
42,0N,SV_1N,Ti,-1.89936
42,0N,SV_1N,V,-1.57123999999999
42,0N,SV_1N,Cr,-1.47710999999998
42,0N,SV_1N,Mn,-1.32095000000004
42,0N,SV_1N,Fe,-1.12189000000001
42,0N,SV_1N,Co,-0.670050000000003
42,0N,SV_1N,Ni,-0.138670000000047
42,0N,SV_1N,Cu,-0.195190000000025
42,0N,SV_1N,Zn,-0.46463
42,0N,SV_1N,Y,-1.02503000000002
42,0N,SV_1N,Zr,-2.08803000000006
42,0N,SV_1N,Nb,-1.84302000000002
42,0N,SV_1N,Mo,-1.79317000000009
42,0N,SV_1N,Tc,-1.29150000000004
42,0N,SV_1N,Ru,-1.13403999999997
42,0N,SV_1N,Rh,-0.450500000000034
42,0N,SV_1N,Pd,-0.0116900000000442
42,0N,SV_1N,Ag,0.194289999999967
42,0N,SV_1N,Hf,-2.40025000000003
42,0N,SV_1N,Ta,-2.39557000000002
42,0N,SV_1N,W,-2.28296
42,0N,SV_1N,Re,-1.87874000000005
42,0N,SV_1N,Os,-1.69135999999997
42,0N,SV_1N,Ir,-1.03104000000002
42,0N,SV_1N,Pt,-0.61256000000003
